Team_Original,Team_Matched,Confederation,Stadium,City,Capacity,Country,Lat,Long,League
RKC Waalwijk,RKC Waalwijk,UEFA,Mandemakers Stadion,Waalwijk,7500,Netherlands,51.6866275999999,5.0889719,Eredivisie
Rotherham United,Rotherham United FC,UEFA,New York AESSEAL Stadium,Rotherham,12021,England,53.4270248,-1.3630214,Championship
Rotor Volgograd,Rotor,UEFA,Volgograd Arena,Volgograd,45568,Russia,48.7344107,44.5485528,Premier Liga
Rubin Kazan,Rubin,UEFA,Kazan Arena,Kazan,45105,Russia,55.821002,49.1608481,Premier Liga
SC Braga,Braga,UEFA,Estadio Municipal de Braga,Braga,30154,Portugal,41.5619546,-8.43049379999999,Liga Nos
SC Farense,Farense,UEFA,Estadio de Sao Lui­s,Faro,7000,Portugal,37.0222168,-7.9283099,Liga Nos
SC Freiburg,SC Freiburg,UEFA,Schwarzwald-Stadion,Freiburg,25000,Germany,47.988917,7.89287699999999,1 Bundesliga
SC Heerenveen,SC Heerenven,UEFA,Abe Lenstra Stadion,Heerenven,26400,Netherlands,52.9587432,5.936013,Eredivisie
SD Eibar,SD Eibar,UEFA,Estadio Ipurua,Eibar,6267,Spain,43.1817755999999,-2.4759683,Primera Division
Sevilla FC,Sevilla,UEFA,Ramon Sanchez Pizjuan,Sevilla,42982,Spain,37.3840655,-5.9706902,Primera Division
Sheffield United,Sheffield United,UEFA,Bramall Lane,Sheffield,32702,England,53.3699684,-1.4699284,Premier League
Sheffield Wednesday,Sheffield Wednesday,UEFA,Hillsborough,Sheffield,39812,England,53.4014756,-1.4984496,Championship
SL Benfica,Benfica,UEFA,Estadio da Luz,Lisbon,66147,Portugal,38.752711,-9.18477399999999,Liga Nos
Southampton FC,Southampton,UEFA,St. Mary's Stadium,Southampton,32384,England,50.9058395,-1.3909515,Premier League
Sparta Rotterdam,Sparta Rotterdam,UEFA,Sparta Stadion,Rotterdam,11026,Netherlands,51.9191758,4.4340583,Eredivisie
Spartak Moscow,Spartak,UEFA,Otkritie Arena,Moscow,45360,Russia,55.8178196,37.4405993,Premier Liga
Spezia Calcio,Spezia,UEFA,Stadio Alberto Picco,La Spezia,10336,Italy,44.1022,9.8087,Serie A
Sporting CP,Sporting CP,UEFA,Estadio Jose Alvalade,Lisbon,50095,Portugal,38.7612,-9.1618,Liga Nos
SS Lazio,Lazio,UEFA,Stadio Olimpico,Rome,70634,Italy,41.9340769999999,12.454725,Serie A
SSC Napoli,SSC Napoli,UEFA,Stadio San Paolo,Neapol,60240,Italy,40.8279365,14.1930611,Serie A
Stade Brest 29,Stade brestois 29,UEFA,Stade Francis-Le Ble,Brest,15305,France,48.4027033,-4.46200589999999,Ligue 1
Stade Reims,Stade Reims,UEFA,Stade Auguste-Delaune,Reims,21684,France,49.2470817,4.0246107,Ligue 1
Stade Rennais FC,Stade Rennais,UEFA,Roazhon Park,Rennes,29778,France,48.1074881,-1.7128664,Ligue 1
Stoke City,Stoke City,UEFA,Bet365 Stadium,Stoke-on-Trent,30089,England,52.987663,-2.173722,Championship
